pos_idx,ra,dec,src_index,num_matches,obs_jd,obs_date,mag,exp_duration_s,n_plates_total,n_study_plates,kp_max_02d,kp_bin,kp_label,nuclear_window
11,158.4,-60.0,8873,1,2434545.213891,1953-06-16,13.202109336853027,,3733,242,2.667,0,Quiet (<5),False
11,158.4,-60.0,8896,1,2434415.573082,1953-02-07,12.990524291992188,,3724,240,2.0,0,Quiet (<5),False
11,158.4,-60.0,8911,1,2434546.217347,1953-06-17,14.218485832214355,,3733,242,3.333,0,Quiet (<5),False
11,158.4,-60.0,9137,1,2433740.233375,1951-04-03,13.487526893615723,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,9336,1,2433468.205185,1950-07-05,15.262048721313477,,3733,242,6.0,2,G2 (6),False
11,158.4,-60.0,9467,1,2434546.217348,1953-06-17,13.810694694519043,,3733,242,3.333,0,Quiet (<5),False
11,158.4,-60.0,9694,1,2434422.548013,1953-02-14,11.585203170776367,,3733,242,3.667,0,Quiet (<5),False
11,158.4,-60.0,9736,1,2433740.233366,1951-04-03,13.851093292236328,,3639,251,6.0,2,G2 (6),False
11,158.4,-60.0,9772,1,2434545.24436,1953-06-16,14.184066772460938,,3733,242,2.667,0,Quiet (<5),False
11,158.4,-60.0,9985,1,2434422.53139,1953-02-14,10.166023254394531,,3734,243,3.667,0,Quiet (<5),False
11,158.4,-60.0,10055,1,2434545.213891,1953-06-16,13.44068431854248,,3733,242,2.667,0,Quiet (<5),False
11,158.4,-60.0,10079,1,2434546.217299,1953-06-17,14.031768798828125,,3630,237,3.333,0,Quiet (<5),False
11,158.4,-60.0,10361,1,2434435.519244,1953-02-27,12.751209259033203,,3733,242,5.667,1,G1 (5),False
11,158.4,-60.0,10684,1,2434433.518442,1953-02-25,11.85807991027832,,3630,237,6.0,2,G2 (6),False
11,158.4,-60.0,10786,1,2433484.218173,1950-07-21,13.80473518371582,,3639,251,3.0,0,Quiet (<5),False
11,158.4,-60.0,10791,1,2433764.269884,1951-04-27,11.525479316711426,,3630,237,5.667,1,G1 (5),False
12,172.8,-60.0,48,1,2433423.214209,1950-05-21,14.948111534118652,,3445,300,3.333,0,Quiet (<5),False
12,172.8,-60.0,84,1,2433802.341693,1951-06-04,15.076824188232422,,3404,302,4.333,0,Quiet (<5),False
12,172.8,-60.0,277,1,2434422.578987,1953-02-14,11.773125648498535,,3445,300,3.667,0,Quiet (<5),False
12,172.8,-60.0,327,1,2434422.578991,1953-02-14,11.616765022277832,,3404,302,3.667,0,Quiet (<5),False
12,172.8,-60.0,371,1,2434415.59981,1953-02-07,11.60987663269043,,3404,302,2.0,0,Quiet (<5),False
12,172.8,-60.0,398,1,2433391.410067,1950-04-19,15.55359172821045,,3404,302,4.667,0,Quiet (<5),False
12,172.8,-60.0,512,1,2434896.316685,1954-06-02,12.142074584960938,,3445,300,3.0,0,Quiet (<5),False
12,172.8,-60.0,651,1,2434898.254706,1954-06-04,15.245976448059082,,3445,300,3.333,0,Quiet (<5),False
12,172.8,-60.0,690,1,2434898.235666,1954-06-04,12.447310447692871,,3404,302,3.333,0,Quiet (<5),False
12,172.8,-60.0,724,1,2433424.284161,1950-05-22,13.894309043884277,,3445,300,5.0,1,G1 (5),False
12,172.8,-60.0,784,1,2434545.263007,1953-06-16,13.864888191223145,,3404,302,2.667,0,Quiet (<5),False
12,172.8,-60.0,869,1,2433442.302197,1950-06-09,11.48917293548584,,3445,300,5.333,1,G1 (5),False
12,172.8,-60.0,893,1,2434546.24222,1953-06-17,14.006138801574707,,3445,300,3.333,0,Quiet (<5),False
12,172.8,-60.0,898,1,2433473.212602,1950-07-10,13.06155776977539,,3404,302,3.667,0,Quiet (<5),False
12,172.8,-60.0,946,1,2433013.447231,1949-04-06,14.816537857055664,,3445,300,2.667,0,Quiet (<5),False
12,172.8,-60.0,971,1,2434415.616423,1953-02-07,12.80019474029541,,3445,300,2.0,0,Quiet (<5),False
12,172.8,-60.0,1297,1,2433424.370727,1950-05-22,13.718811988830566,,3445,300,5.0,1,G1 (5),False
12,172.8,-60.0,1518,1,2433423.266148,1950-05-21,15.16386604309082,,3445,300,3.333,0,Quiet (<5),False
12,172.8,-60.0,1890,1,2433423.363799,1950-05-21,16.100576400756836,,3404,302,3.333,0,Quiet (<5),False
12,172.8,-60.0,2046,1,2434898.251604,1954-06-04,13.60469913482666,,3404,302,3.333,0,Quiet (<5),False
12,172.8,-60.0,2206,1,2434898.235676,1954-06-04,12.417104721069336,,3404,302,3.333,0,Quiet (<5),False
